 Grad    Bogenmass    sin()    cos()        tan()
  0.0        0.000    0.000    1.000     0.00e+00
 10.0        0.175    0.174    0.985     1.76e-01
 20.0        0.349    0.342    0.940     3.64e-01
 30.0        0.524    0.500    0.866     5.77e-01
 40.0        0.698    0.643    0.766     8.39e-01
 50.0        0.873    0.766    0.643     1.19e+00
 60.0        1.047    0.866    0.500     1.73e+00
 70.0        1.222    0.940    0.342     2.75e+00
 80.0        1.396    0.985    0.174     5.67e+00
 90.0        1.571    1.000    0.000     1.63e+16
